,Class,Sample,Date,Peak,scan_number,Intensity,Area%,CAS_ID,Quality,Peak_ID,RI,Sample_ID
158,CU,CU3,2015/11/03,92,9968,321305,0.42,022545-15-9,46.0,CU3-1103-92,0.0,CU3-1103
159,CU,CU3,2015/11/03,92,9968,321305,0.42,999095-21-9,46.0,CU3-1103-92,0.0,CU3-1103
160,CU,CU3,2015/11/03,93,10042,135692,0.18,002489-86-3,60.0,CU3-1103-93,0.0,CU3-1103
161,CU,CU3,2015/11/03,93,10042,135692,0.18,000643-58-3,58.0,CU3-1103-93,0.0,CU3-1103
162,CU,CU3,2015/11/03,94,10144,200329,0.26,002733-51-9,30.0,CU3-1103-94,0.0,CU3-1103
163,CU,CU3,2015/11/03,94,10144,200329,0.26,000080-46-6,46.0,CU3-1103-94,0.0,CU3-1103
164,CU,CU3,2015/11/03,94,10144,200329,0.26,013754-86-4,38.0,CU3-1103-94,0.0,CU3-1103
165,CU,CU3,2015/11/03,95,10694,51575,0.07,001730-37-6,93.0,CU3-1103-95,0.0,CU3-1103
166,CU,CU3,2015/11/03,95,10694,51575,0.07,002523-37-7,93.0,CU3-1103-95,0.0,CU3-1103
167,CU,CU3,2015/11/03,96,10712,121098,0.16,001430-97-3,96.0,CU3-1103-96,0.0,CU3-1103
168,CU,CU3,2015/11/03,96,10712,121098,0.16,001730-37-6,96.0,CU3-1103-96,0.0,CU3-1103
169,CU,CU3,2015/11/03,96,10712,121098,0.16,002523-39-9,96.0,CU3-1103-96,0.0,CU3-1103
170,CU,CU3,2015/11/03,97,10760,57009,0.08,001430-97-3,92.0,CU3-1103-97,0.0,CU3-1103
171,CU,CU3,2015/11/03,97,10760,57009,0.08,001730-37-6,93.0,CU3-1103-97,0.0,CU3-1103
172,CU,CU3,2015/11/03,98,10840,88287,0.12,001556-99-6,93.0,CU3-1103-98,0.0,CU3-1103
173,CU,CU3,2015/11/03,98,10840,88287,0.12,001430-97-3,78.0,CU3-1103-98,0.0,CU3-1103
174,CU,CU3,2015/11/03,99,11282,428189,0.57,000120-12-7,95.0,CU3-1103-99,0.0,CU3-1103
175,CU,CU3,2015/11/03,99,11282,428189,0.57,000085-01-8,96.0,CU3-1103-99,0.0,CU3-1103
176,CU,CU3,2015/11/03,100,11350,36767,0.05,000120-12-7,92.0,CU3-1103-100,0.0,CU3-1103
177,CU,CU3,2015/11/03,100,11350,36767,0.05,000501-65-5,90.0,CU3-1103-100,0.0,CU3-1103
178,CU,CU3,2015/11/03,100,11350,36767,0.05,000085-01-8,90.0,CU3-1103-100,0.0,CU3-1103
179,CU,CU3,2015/11/25,1,557,75891,0.28,000124-38-9,4.0,CU3-1125-1,6.16756294305,CU3-1125
180,CU,CU3,2015/11/25,2,585,361290,1.32,000124-38-9,4.0,CU3-1125-2,6.16972022778,CU3-1125
181,CU,CU3,2015/11/25,3,2135,88552,0.32,001708-29-8,25.0,CU3-1125-3,6.60476400529,CU3-1125
